REF_TXT,en,es,it,fr,ja
BTN_PLAY,Play,Jugar,,,
BTN_OPTIONS,Options,Opciones,,,
BTN_CREDITS,Credits,Créditos,,,
BTN_EXIT,Exit,Salir,,,
TAB_GRAPHICS,Graphics,Gráficos,,,
LBL_VIEW_DISTANCE,View Distance,Distancia de visión,,,
TT_LBL_VIEW_DISTANCE,"Radius where the chunks will render.

Big values will require more CPU, GPU, RAM, and will take longer to load the level.

Performance impact: High",-,,,
TAB_SOUND,Sound,Sonido,,,
LBL_SOUND_NOCONFIG,No sound configuration yet.,No hay configuración de sonido aún.,,,
TAB_CONTROLS,Controls,Controles,,,
LBL_MOUSESENS,Mouse sensibility,Sensibilidad del ratón,,,
TT_LBL_MOUSESENS,"This affect how fast the camera moves.

Performance impact: None",-,,,
TAB_GAME,Game,Juego,,,
LBL_MAP_UPDATE,Map update time,Tiempo de actualización del mapa,,,
TT_LBL_MAP_UPDATE,"This affects how much the map will update.
Smaller values will require more CPU, but might reduce frame drops.

Performance impact: Low",-,,,
LBL_CAMQUALITY,Camera quality,Calidad de la cámara,,,
CAMQUALITY_LOSSLESS,Lossless,Sin pérdida,,,
CAMQUALITY_VERYHIGH,Very high (1024),Muy alta (1024),,,
CAMQUALITY_HIGH,High (768),Alta (768),,,
CAMQUALITY_MEDIUM,Medium (512),Media (512),,,
CAMQUALITY_LOW,Low (256),Baja (256),,,
CAMQUALITY_VERYLOW,Very low (128),Muy baja (128),,,
CAMQUALITY_EXTREMELYLOW,Extremely low (64),Extramadamente baja (64),,,
LBL_CAMCOMPRESSION,Camera compression,Compresión de la cámara,,,
CAMCOMPRESSION_NONE,None (lossless),Ninguna (sin pérdida),,,
CAMCOMPRESSION_LOW,Low (20%),Baja (20%),,,
CAMCOMPRESSION_MEDIUM,Medium (50%),Media (50%),,,
CAMCOMPRESSION_HIGH,High (80%),Alta (80%),,,
CAMCOMPRESSION_VERYHIGH,Very high (100%),Muy alta (100%),,,
TAB_MULTIPLAYER,Multiplayer,Multijugador,,,
LBL_MULTIPLAYER_SERVER,Multiplayer server,Servidor del multijugador,,,
TT_LBL_MULTIPLAYER_SERVER,"Server to connect to in the multiplayer.

Performance impact: None",-,,,
LBL_USERNAME,Username,Nombre de usuario,,,
TT_LBL_USERNAME,"Username for the multiplayer.

Make sure it’s unique and nobody is connected with the same username. Must not be empty nor larger than 15 characters.

Performance impact: None",-,,,
LBL_PASSWORD,Password,Contraseña,,,
TT_LBL_PASSWORD,"Password for the multiplayer.

If the combination of username and password doesn’t exist in the server, a new account will be created. If the username is stored in the server, but the password incorrect, it will not log in.

Must not be empty, at least 8 characters, and not larger than 60 characters.

Performance impact: None",-,,,
LBL_MULTIPLAYER_SYNC,Multiplayer sync time,Tiempo de sincronización del multijugador,,,
TT_LBL_MULTIPLAYER_SYNC,"Velocity when the multiplayer will be updated. If 0, it will update for each frame.
Smaller values might require a better internet connection, but will look more smooth.

Performance impact: None",,,,
TAB_I40,I4_0,I4_0,,,
LBL_I4.0_NOCONFIG,No I4.0 configuration yet.,No hay configuración de I4.0 aún.,,,
TT_BTN_PLAY,"NOTE:
This game is still in development. Since most levels doesn’t have any exits yet, this will take you to The Hub (level selector).

Make sure your multiplayer username and password are correct and that nobody is connected as the same user. The game might crash if there is a multiplayer error.","NOTA:
Este juego sigue en desarrollo. Ya que la mayoría de niveles no tienen ninguna salida todavía, estas te llevarán a The Hub (el selector de niveles).

Asegúrate de que tu nombre de usuario y contraseña en el modo multijugador sean correctos y que nadie esté conectado con tu mismo usuario. El juego podría crashear si hay algún error en el modo multijugador.",,,
BTN_SAVE_CONFIG,Save,Guardar,,,
LBL_SHADOW_DISTANCE,Shadow view distance,Distancia de visión de las sombras,,,
PLACEHOLDER_PROMPT,Write your prompt here,Escribe tu petición aquí,,,
BTN_SEND,Send,Enviar,,,
BTN_ATTACH_FLS,File: Attach from local storage,Archivo: Adjuntar desde el dispositivo,,,
BTN_TAKE_PICTURE,File: Take picture,Archivo: Tomar fotografía,,,
BTN_DEL_CONV,Conversation: Delete,Conversación: Eliminar,,,
TOOL_SEARCH_TXT,Tool: Internet: Text search,Herramienta: Internet: Búsqueda de texto,,,
TOOL_SEARCH_IMG, Tool: Internet: Image search,Herramienta: Internet: Búsqueda de imagen,,,
TT_BTN_I4.0_UTILITIES,"Utilities

(Internet search tools allows I4.0 to search over the Backrooms wikis and extract the text/images)","Utilidades

(Herramientas de búsqueda en internet le permiten a I4.0 buscar y extraer texto/imágenes en las wikis de los Backrooms)",,,
MSG_ATTACH_FILES_ERROR,"Could not attach files because of an internal error.","No se han podido adjuntar los archivos debido a un error interno.",,,
LBL_VOL_MASTER,Master volume,Volumen global,,,
LBL_VOL_ENTITY,Entity volume,Volumen de entidades,,,
LBL_VOL_MUSIC,Music and ambience volume,Volumen de música y ambiente,,,
LBL_VOL_SFX,Sound effects volume,Volumen de efectos de sonido,,,
LBL_VOL_PLAYER_VOICE,Global player voice volume,Volumen de la voz de jugadores (global),,,
LBL_VOL_PLAYER_SFX,Global player sound effects volume,Volumen de los efectos de sonido de jugadores (global),,,
LBL_VOL_CUSTOMPLAYER,All players volume settings,Ajustes de volumen de cada jugador,,,
LBL_VOL_CUSTOMPLAYER_NAME,Player name,Nombre del jugador,,,
LBL_VOL_CUSTOMPLAYER_VOICE,Voice volume,Volumen de voz,,,
LBL_VOL_CUSTOMPLAYER_SFX,Sound effects volume,Volumen de efectos de sonido,,,
LBL_VOL_CUSTOMPLAYER_ADD,Add player custom volume settings,Añadir ajustes de volumen personalizados para un jugador,,,
